Filename,Serial Number,Check Number,Nomor Container,Grade
IMG_20260808_100509_360.jpg,590726,2,SPNU5907262,Grade : A
IMG_20260808_100513.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100513_056.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100516_317.jpg,939892,8,SPNU9398928,Grade : A
IMG_20260808_100517.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100529_497.jpg,059748,5,SPNU0597485,Grade : B
IMG_20260808_100531.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100532_269.jpg,903292,8,SPNU9032928,Grade : A
IMG_20260808_100533.jpg,274588,3,SPNU2745883,Grade : B
IMG_20260808_100538_970.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100545.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100547.jpg,350231,5,SPNU3502315,Grade : A
IMG_20260808_100549_876.jpg,059111,4,SPNU0591114,Grade : B
IMG_20260808_100553_134.jpg,593501,5,SPNU5935015,Grade : A
IMG_20260808_100555.jpg,932554,8,SPNU9325548,Grade : A
IMG_20260808_100555_922.jpg,031348,6,SPNU0313486,Grade : B
IMG_20260808_100558.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100601_973.jpg,321554,8,SPNU3215548,Grade : A
IMG_20260808_100605_280.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100608_312.jpg,943399,5,SPNU9433995,Grade : A
IMG_20260808_100712.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100714.jpg,059021,0,SPNU0590210,Grade : B
IMG_20260808_100719_149.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100724_851.jpg,590226,6,SPNU5902266,Grade : A
IMG_20260808_100726.jpg,783816,5,SPNU7838165,Grade : A
IMG_20260808_100728.jpg,690368,9,SPNU6903689,Grade : A
IMG_20260808_100733_109.jpg,913881,5,SPNU9138815,Grade : A
IMG_20260808_100738_832.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100744.jpg,059197,6,SPNU0591976,Grade : B
IMG_20260808_100747.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100755_708.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100758_466.jpg,022554,2,SPNU0225542,Grade : B
IMG_20260808_100801_292.jpg,592268,7,SPNU5922687,Grade : A
IMG_20260808_100814.jpg,043160,5,SPNU0431605,Grade : B
IMG_20260808_100816.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100817_120.jpg,280160,5,SPNU2801605,Grade : B
IMG_20260808_100825_753.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100832.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100834.jpg,288883,7,SPNU2888837,Grade : B
IMG_20260808_100835_860.jpg,928582,9,SPNU9285829,Grade : A
IMG_20260808_100840_500.jpg,289621,5,SPNU2896215,Grade : B
IMG_20260808_100845.jpg,142000,8,SPNU1420008,Grade : B
IMG_20260808_100847.jpg,594110,7,SPNU5941107,Grade : A
IMG_20260808_100852.jpg,274904,5,SPNU2749045,Grade : B
IMG_20260808_100854.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_100857_760.jpg,749045,0,SPNU7490450,Grade : A
IMG_20260808_100900_671.jpg,591453,9,SPNU5914539,Grade : A
IMG_20260808_100903.jpg,280840,4,SPNU2808404,Grade : B
IMG_20260808_100903_150.jpg,593521,4,SPNU5935214,Grade : A
IMG_20260808_100905.jpg,938068,4,SPNU9380684,Grade : A
IMG_20260808_100912_250.jpg,928840,4,SPNU9288404,Grade : A
IMG_20260808_100919_140.jpg,918068,9,SPNU9180689,Grade : A
IMG_20260808_101343.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_101353.jpg,593933,0,SPNU5939330,Grade : A
IMG_20260808_101355.jpg,Not Found,Not Found,Not Found,Not Found
IMG_20260808_101707.jpg,211245,8,SPNU2112458,Grade : B
IMG_20260808_101708.jpg,021126,1,SPNU0211261,Grade : B
IMG_20260808_101717.jpg,059038,8,SPNU0590388,Grade : B
